
Single datacenter : one node  

[root@cassandra01 conf]# nodetool ring

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -9162222804234161294
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -9143835244981745288
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -9093880222022242677
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -9072773492734076579
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -9031419295900028082
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8981728352109183229
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8933659318255015469
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8907371414162546035
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8903241111400855992
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8575903560538616950
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8537233793182353801
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8494343040115541295
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8468219626964099233
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8458926039880158274
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8424283389039991108
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8383903844254628330
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8347650426594110698
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8310875263160498819
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -8244049490648365889
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7995184873931881672
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7976299628036154496
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7798072905221646640
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7725648875455427975
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7607411090820206911
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -7582328533820140857
